"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"Centre-du-Quebec","Monteregie","8","khrtv8cn","2","rare-grass-25"
"Centre-du-Quebec","Montreal","8","khrtv8cn","0","rare-grass-25"
"Centre-du-Quebec","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Centre-du-Quebec","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Centre-du-Quebec","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Capitale-Nationale","8","khrtv8cn","2","rare-grass-25"
"Chaudiere-Appalaches","Centre-du-Quebec","8","khrtv8cn","1","rare-grass-25"
"Chaudiere-Appalaches","Chaudiere-Appalaches","8","khrtv8cn","105","rare-grass-25"
"Chaudiere-Appalaches","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Estrie","8","khrtv8cn","3","rare-grass-25"
"Chaudiere-Appalaches","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Lanaudiere","8","khrtv8cn","1","rare-grass-25"
"Chaudiere-Appalaches","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Laval","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Montreal","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Chaudiere-Appalaches","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Capitale-Nationale","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Cote-Nord","8","khrtv8cn","112","rare-grass-25"
"Cote-Nord","Estrie","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
